R1,C1,R2,C2,Bandwidth_Hz,Q_factor
0.6679294345811116,0.1840156506842341,0.7905946530654864,0.11245790079434526,0.6032453900000001,0.6373250905765276
0.1314177732237839,0.2816307152738807,0.3633766676963709,0.42866759451122416,0.5848931900000001,0.3579813830155142
0.8862693726144019,0.21416934448075675,0.3281403280695734,0.026502667395532198,3.6238102100000003,1.2623544273029623
0.5441722049018324,0.6757293080267904,0.2478304280520638,0.113826442000721,0.8407720000000001,1.1297534160540235
0.6072932521930867,0.9882948020002864,0.9977982487425918,0.4450878056165468,0.1885022300000001,0.7226719680144427
0.3992841113200992,0.10534059087487346,0.5862132537928869,0.15440371032219624,0.7988709199999999,0.4054920766066828
0.02185546446401021,0.9823123361017108,0.8937274119725998,0.4358609284362698,0.4454397699999999,0.22915837132346561
0.4225751446575289,0.16323701245660227,0.5901834491007414,0.9346784530044052,0.38038426000000003,0.20607141525006215
0.6442783328669426,0.8444859493688598,0.03334549222448957,0.32772577498059985,0.56675107,0.34722227370203396
0.5279221643295339,0.923185379427686,0.8841660495479672,0.7296245325488763,0.1885022300000001,0.5442328872211051
0.5568279135998215,0.7539461515601762,0.5578489201416473,0.19632595588190294,0.17489755000000007,0.9798308885570136
0.25795070206296533,0.9662635890811017,0.6425746173466571,0.8523753806658482,0.216186,0.4813562008926816
0.24516675396396148,0.656297977012275,0.3661259110963281,0.530351118316582,0.30316677999999997,0.545212274711915
0.7229865839629501,0.4289537140330446,0.21481117193583,0.5437058760253773,0.33352143,0.37325665970159483
0.3742346587378248,0.8165054768662394,0.36474980463036333,0.6829057375789483,0.2302687699999999,0.5466802691474193
0.41065021939212576,0.9678851829276426,0.6892144178547824,0.808309879143641,0.20226443000000005,0.5292939684626041
0.05931614192955614,0.7688800941745091,0.6409899531347178,0.5320084662802239,0.41253754,0.33472965488630235
0.9153922155893585,0.011783355798752781,0.1948525334059179,0.256329456655896,0.51356125,0.08155923530985765
0.5764360330279565,0.8921744896302839,0.9874692152265615,0.6209887522209897,0.1885022300000001,0.5782424079955966
0.7660599973638865,0.2909084063680404,0.5197933634896534,0.18729364464774156,0.34896288,0.6116062690054426
0.3359907010871195,0.579112935404036,0.6142241766147615,0.7606879566391176,0.24451460999999997,0.4171417118338437
0.9223282124536195,0.11080298406073597,0.23354996053121557,0.2515708932219529,0.49623565999999997,0.26648091771507804
0.82113693297314,0.9605687527282514,0.8076809840451176,0.2626418384769733,0.17489755000000007,0.9561751590890729
0.561081598639031,0.26527795123878717,0.3841298357815788,0.9522423313717737,0.33352143,0.25923873995639596
0.8293919376462001,0.4548254088684578,0.22035418176222354,0.7182721210739719,0.30316677999999997,0.3240664931119258
0.39420534123722195,0.6230852320017725,0.9374197489107532,0.2998602724796646,0.216186,0.6580525789090272
0.6144049915188954,0.9188806852940556,0.7628483174709688,0.11352126171288823,0.13501081999999998,1.414241562086221
0.9926617292924174,0.3074193145202989,0.18723182507893144,0.7935040921793189,0.3645831399999999,0.22742522629837045
0.8001505004701271,0.748183534898916,0.6057079518721612,0.01662392827963044,0.61206363,3.3221032563462747
0.48589942716999923,0.7902552738378185,0.4230524730266373,0.07371963842782303,0.69824365,1.633132847316732
0.09379430886881768,0.35382572999137596,0.29236527615840746,0.11507028695147437,3.9545019100000003,0.7519646550148664
0.39267025914588927,0.10712026306131728,0.5710247218987393,0.3565907884545695,0.4621771699999999,0.2693100856402514
0.9177620607868446,0.13588148727586347,0.32821555846378925,0.237355818452057,0.47910838999999994,0.3332841002839494
0.3360715435106929,0.012877510938467451,0.8268887100253544,0.986240891411823,0.41253754,0.05179633015684453
0.16808375068533943,0.5353740645876282,0.6753945592150129,0.5795070575816653,0.33352143,0.38394323920371815
0.6365080198034508,0.9309379083120517,0.8489552190114005,0.6529454249373743,0.1885022300000001,0.5908868686227987
0.6566492523600758,0.747309404895784,0.3248658512637652,0.23130126280208607,0.216186,0.8458298219676093
0.6696711756562572,0.5384698744374421,0.20399765244019163,0.8085421092132588,0.30316677999999997,0.34524383429252314
0.6987060321679499,0.4592623971704223,0.45293366543505065,0.5081489744231771,0.24451460999999997,0.4643899772436253
0.17451997813679787,0.23375345325842922,0.6696922701666702,0.8890584714759584,0.3963683600000001,0.20764545263921985
0.19991664195462944,0.8316110266859255,0.745561443877193,0.7821652031333051,0.24451460999999997,0.42104217570390456
0.3592942530351404,0.6886345295890559,0.3488650533511749,0.32886121241609234,0.28824954999999997,0.7234540846001319
0.25092608064154576,0.22375235918215597,0.562098840342557,0.08271185828388972,2.27340695,0.7597580508261556
0.5729532060983539,0.40055128294545284,0.8967158665093112,0.7842001114038263,0.24451460999999997,0.34856442696665674
0.03772080079104834,0.23525431072395098,0.15137173853552022,0.8311141052506937,0.75792361,0.21260668989663942
0.3849428875227817,0.2620711812242291,0.8488323625491863,0.49412688488614653,0.33352143,0.33741427440105154
0.0015175390487596196,0.9298548949950117,0.06082409231332864,0.8889814469421737,2.23593657,0.15761256441048282
0.3834349782976155,0.15741551059281822,0.8347933691251667,0.44767233727489275,0.3963683600000001,0.2753913468643927
0.3578795517734865,0.09080992932186338,0.16376093642722345,0.17802300257135317,1.34422882,0.3314598383442535
0.31037818437583975,0.7418920220547865,0.18414877546054986,0.3133429421737399,0.54881662,0.7438758011318427
0.0767643569973695,0.41612339707372525,0.4160655098136812,0.2147225417812837,1.26464431,0.504819235450331
0.6535209081574908,0.6327993982337313,0.8370859996138165,0.35237643687975306,0.1885022300000001,0.6649381515704001
0.2312801562288026,0.2063520253791632,0.2595906220112961,0.6833891955595619,0.4621771699999999,0.2742943236422712
0.7494499555241371,0.3215692844874407,0.11731724649742115,0.6365203095343186,0.3963683600000001,0.2431537250494382
0.8650946456781389,0.32432873118326744,0.7133523902495086,0.17933409421199875,0.25892541,0.6692912360674234
0.1470663990361979,0.7780548737828419,0.7456338848525462,0.16797406312539676,0.51356125,0.79835835473644
0.10621225187345085,0.957174124894301,0.6481627950902938,0.7072239226686952,0.30316677999999997,0.4046309016561342
0.21729698278976128,0.3705173340668041,0.9478499080628232,0.7787421112135423,0.33352143,0.2686726065984348
0.35679438493784776,0.2075764904502131,0.3623494670312072,0.8012338915470335,0.3963683600000001,0.25448751078673887
0.3278276439661906,0.96833789077936,0.3539296995731228,0.5981503346196726,0.216186,0.6357110395947114
0.4434329051159287,0.2557969456845983,0.3060436829888047,0.4665295024050887,0.41253754,0.36396172785393527
