R1,R2,RC,RE,Peak_Gain_dB,Bandwidth_Hz
54416.558483766974,20501.755009760644,1344.1868520562402,954.7480463322208,15.886730752165812,99998050.1554
113685.73294985946,28893.6776816008,3855.405003031673,667.4404863791801,10.58251209815097,99998851.84638
148839.4717984448,24359.326053773962,2869.951549094766,272.73690499357303,12.329501648657114,99998396.75461
141025.09820055083,20530.937051661444,2793.6338545938997,685.6270111522631,11.250499965720504,99998537.82283
145348.24251394745,21357.774921539753,4792.638907815976,494.3252645903529,6.6968794890274985,99998890.82518
113503.09671158931,17282.883477882475,1093.2865079673513,396.1974205189927,18.268834612619038,99997014.61738
77820.17429635965,12007.623673788119,3443.1939952993607,413.26186693513586,4.49657037482737,99998340.41309
81687.37532365748,16334.916830896676,1714.8477369923007,815.8340793243281,13.289422469050184,99998116.35091
123677.47370339693,20559.623089182678,3915.2174385087005,536.6958693915772,8.028215706262129,99998741.07459
62249.22686799115,11478.99205876094,2596.264444128138,450.92130055502287,6.421591390386837,99998072.47509
102297.51834716181,19076.511826375143,1379.127105391663,834.0552222149221,16.85633785789897,99997981.63364
133438.60743742512,28252.210699997315,1791.883516582293,943.8938761627393,17.828843482599755,99998378.1899
89845.83168200077,17629.100347970758,1211.5818901772348,850.9473448689607,16.758331243644818,99997837.28148
99216.60330239355,23291.490991211846,3484.671469700853,989.0600534088401,9.682573510118706,99998825.10245
87802.50707363436,10368.231982065541,3594.5236001806707,276.15277194008956,3.088927953337772,99998221.72059
113226.86037373818,29915.48238355211,4986.144631031153,801.3064061536819,8.523108441065853,99999045.007414
63822.213715708145,22130.15343504524,4274.935276071837,655.2519272930801,6.666672515280604,99998811.49777
103339.99202464765,29875.56112229848,2713.7254742179402,681.5556645015629,13.83357919408277,99998587.46246
79564.65367002337,17923.02654008924,4906.631163083746,757.7371430678305,4.429539671884623,99998877.98155
58297.66673375411,26708.679557164513,2405.4747529010424,552.0312121577088,12.79035254550519,99998340.41309
128410.75820501846,11634.289715287548,4710.310123814541,467.6333592593831,1.947553963951856,99998619.61574
141365.66961604584,12589.824666814751,3967.6709142104305,924.8504098937875,4.126049583972242,99998711.75045
109865.73678181933,29050.10094165978,4825.128392651975,928.1837039137284,8.560443707817655,99999045.007414
135736.51844202957,27914.00333496424,2546.0989339856587,250.6277262617481,14.336661157936534,99998262.19917
101966.55015964403,27790.48059709506,3071.9296910613843,721.5378257482811,12.135624658095017,99998681.74326
103636.0667441334,15198.531232019697,1567.152647383075,604.5508987136163,13.82383452717332,99997812.23838
114477.83411368121,23102.572691358248,4920.180358209957,431.6922080099395,6.736439583800592,99998890.82518
67259.20543637779,28124.505512218184,4421.159254110358,592.0183362475816,7.989648902269824,99998877.98155
55957.45278024041,12793.897502397167,2376.56764434668,534.0576510228964,7.8250229318661555,99998094.53928
104499.09889824175,13410.504407296952,4278.79093588258,216.8988922839156,3.7052558217154385,99998503.76434
106947.25546955976,19917.646880992106,2727.21780157332,593.4180296114384,10.844095883735305,99998451.18338
149584.10347127964,10527.632251776922,4181.684065535,790.2604854057847,2.3561873748642945,99998619.61574
53178.78594457303,20351.60438933965,2794.476931341796,918.6141045294656,9.538553195978102,99998587.46246
146578.50793701713,16577.009288652414,3421.3990134187675,583.9145445108111,7.769835452196496,99998587.46246
104802.08758786388,29284.25412512373,2313.500476208558,769.6317062037673,15.221455792967129,99998486.43875
85821.55386141286,21841.029092261,1208.4316895382917,103.68118048719163,18.616674156223084,99996572.32213
120173.6941214917,15622.085481860959,1050.896015173541,662.2963064120328,17.994791672046492,99997429.60422
72257.94206894885,24766.03264699428,4389.62389885856,168.12174642988484,7.3530380239469135,99998711.75045
79827.41405382358,16832.42860581127,1668.2144822568403,975.7517554204597,13.782046801661682,99998221.72059
