R_f,C_f,Transimpedance_dBOhm,Bandwidth_Hz,Phase_Margin_deg
34864.13464763385,7.770963597140181e-12,90.84756899852945,582003.218,135.26163464393284
53958.869713694854,6.057315901613933e-11,94.64122987686963,48317.2368,135.1633966854578
817119.9331752314,4.863156647624679e-13,118.24570714202325,398007.171,135.172565764549
1845.5265280685462,2.190140810469076e-13,65.3223971645375,389045045.0,135.34483945015825
1569.705055855064,4.132234608128719e-11,63.916352452687235,2426510.1,135.31774991431314
694739.3678816601,6.04211772810283e-12,116.83639928238131,37483.7404,135.25125707472577
531926.563297659,6.538647978829108e-13,114.51702467959039,451755.944,135.36150699710782
1599.3757214083175,3.2836841706188284e-13,64.07900130434419,301995072.0,135.09949050182348
88171.66673183617,2.1782228918120635e-12,98.9065722622246,822142.65,135.2235348169967
1917.7366900099091,1.7871934834814326e-13,65.65577086461167,462380921.0,135.12266549642862
1294.006871632075,6.4645923911378626e-12,62.23872299064637,18836390.9,135.2864383473748
9592.058699707197,8.447853726336354e-11,79.6382267435427,194884.46,135.20857157788757
11876.730316195226,2.5951644313173692e-11,81.49392907329583,512761.384,135.1951441086628
106305.19864283474,1.715536970277689e-13,100.53108138698596,8609837.52,135.3869043463753
266381.4836877635,8.319887644649287e-11,108.50922991950107,7061.4341,135.07906712292487
1572.8411874186415,4.2574908976812854e-13,63.93368878184223,234422782.0,135.39455439290788
10420.735787090522,9.699179883693973e-13,80.35795904299759,15667410.7,135.14424546381764
235219.1459883626,6.692404129880549e-13,107.42944464874327,999900.0,135.31433327780428
2853.1530606793353,2.661513440421852e-11,69.10649272021828,2089196.13,135.09013331796382
35784.87883123506,1.7029634221961972e-13,91.0739823347846,26001495.6,135.12633829451096
1791.5859180047453,1.0802074239903932e-12,65.06474413883694,81282951.6,135.33478271898076
6503.111158803345,1.1686696667588928e-11,76.2624148576569,2065280.16,135.39624637288912
35008.02502514797,2.6803411703733367e-13,90.88334353352619,16787940.2,135.29435646250394
